,date,time,age,confirmed,deceased
0,2020-03-02,0,0s,32,0
1,2020-03-02,0,10s,169,0
2,2020-03-02,0,20s,1235,0
3,2020-03-02,0,30s,506,1
4,2020-03-02,0,40s,633,1
5,2020-03-02,0,50s,834,5
6,2020-03-02,0,60s,530,6
7,2020-03-02,0,70s,192,6
8,2020-03-02,0,80s,81,3
9,2020-03-03,0,0s,34,0
10,2020-03-03,0,10s,204,0
11,2020-03-03,0,20s,1417,0
12,2020-03-03,0,30s,578,1
13,2020-03-03,0,40s,713,1
14,2020-03-03,0,50s,952,5
15,2020-03-03,0,60s,597,7
16,2020-03-03,0,70s,224,9
17,2020-03-03,0,80s,93,5
18,2020-03-04,0,0s,34,0
19,2020-03-04,0,10s,233,0
20,2020-03-04,0,20s,1575,0
21,2020-03-04,0,30s,631,1
22,2020-03-04,0,40s,790,1
23,2020-03-04,0,50s,1051,5
24,2020-03-04,0,60s,646,7
25,2020-03-04,0,70s,260,12
26,2020-03-04,0,80s,108,6
27,2020-03-05,0,0s,38,0
28,2020-03-05,0,10s,257,0
29,2020-03-05,0,20s,1727,0
30,2020-03-05,0,30s,659,1
31,2020-03-05,0,40s,847,1
32,2020-03-05,0,50s,1127,5
33,2020-03-05,0,60s,699,8
34,2020-03-05,0,70s,288,13
35,2020-03-05,0,80s,124,7
36,2020-03-06,0,0s,45,0
37,2020-03-06,0,10s,292,0
38,2020-03-06,0,20s,1877,0
39,2020-03-06,0,30s,693,1
40,2020-03-06,0,40s,889,1
41,2020-03-06,0,50s,1217,5
42,2020-03-06,0,60s,763,11
43,2020-03-06,0,70s,340,14
44,2020-03-06,0,80s,168,10
45,2020-03-07,0,0s,52,0
46,2020-03-07,0,10s,327,0
47,2020-03-07,0,20s,2038,0
48,2020-03-07,0,30s,727,1
49,2020-03-07,0,40s,941,1
50,2020-03-07,0,50s,1287,5
51,2020-03-07,0,60s,830,11
52,2020-03-07,0,70s,384,14
53,2020-03-07,0,80s,191,12
54,2020-03-08,0,0s,58,0
55,2020-03-08,0,10s,360,0
56,2020-03-08,0,20s,2133,0
57,2020-03-08,0,30s,760,1
58,2020-03-08,0,40s,975,1
59,2020-03-08,0,50s,1349,5
60,2020-03-08,0,60s,878,11
61,2020-03-08,0,70s,409,18
62,2020-03-08,0,80s,212,14
63,2020-03-09,0,0s,66,0
64,2020-03-09,0,10s,381,0
65,2020-03-09,0,20s,2190,0
66,2020-03-09,0,30s,779,1
67,2020-03-09,0,40s,1005,1
68,2020-03-09,0,50s,1391,5
69,2020-03-09,0,60s,916,12
70,2020-03-09,0,70s,438,18
71,2020-03-09,0,80s,216,14
72,2020-03-10,0,0s,67,0
73,2020-03-10,0,10s,393,0
74,2020-03-10,0,20s,2213,0
75,2020-03-10,0,30s,789,1
76,2020-03-10,0,40s,1030,1
77,2020-03-10,0,50s,1416,5
78,2020-03-10,0,60s,929,13
79,2020-03-10,0,70s,454,19
80,2020-03-10,0,80s,222,15
81,2020-03-11,0,0s,75,0
82,2020-03-11,0,10s,405,0
83,2020-03-11,0,20s,2238,0
84,2020-03-11,0,30s,804,1
85,2020-03-11,0,40s,1082,1
86,2020-03-11,0,50s,1472,6
87,2020-03-11,0,60s,960,14
88,2020-03-11,0,70s,483,21
89,2020-03-11,0,80s,236,17
90,2020-03-12,0,0s,76,0
91,2020-03-12,0,10s,412,0
92,2020-03-12,0,20s,2261,0
93,2020-03-12,0,30s,812,1
94,2020-03-12,0,40s,1101,1
95,2020-03-12,0,50s,1495,6
96,2020-03-12,0,60s,972,14
97,2020-03-12,0,70s,497,24
98,2020-03-12,0,80s,243,20
99,2020-03-13,0,0s,77,0
100,2020-03-13,0,10s,421,0
101,2020-03-13,0,20s,2274,0
102,2020-03-13,0,30s,823,1
103,2020-03-13,0,40s,1117,1
104,2020-03-13,0,50s,1523,6
105,2020-03-13,0,60s,985,14
106,2020-03-13,0,70s,506,24
107,2020-03-13,0,80s,253,21
108,2020-03-14,0,0s,81,0
109,2020-03-14,0,10s,424,0
110,2020-03-14,0,20s,2287,0
111,2020-03-14,0,30s,833,1
112,2020-03-14,0,40s,1133,1
113,2020-03-14,0,50s,1551,6
114,2020-03-14,0,60s,999,14
115,2020-03-14,0,70s,515,27
116,2020-03-14,0,80s,263,23
117,2020-03-15,0,0s,83,0
118,2020-03-15,0,10s,427,0
119,2020-03-15,0,20s,2301,0
120,2020-03-15,0,30s,842,1
121,2020-03-15,0,40s,1141,1
122,2020-03-15,0,50s,1568,6
123,2020-03-15,0,60s,1012,14
124,2020-03-15,0,70s,525,28
125,2020-03-15,0,80s,263,25
126,2020-03-16,0,0s,85,0
127,2020-03-16,0,10s,432,0
128,2020-03-16,0,20s,2313,0
129,2020-03-16,0,30s,849,1
130,2020-03-16,0,40s,1147,1
131,2020-03-16,0,50s,1585,6
132,2020-03-16,0,60s,1024,14
133,2020-03-16,0,70s,531,28
134,2020-03-16,0,80s,270,25
135,2020-03-17,0,0s,86,0
136,2020-03-17,0,10s,436,0
137,2020-03-17,0,20s,2330,0
138,2020-03-17,0,30s,856,1
139,2020-03-17,0,40s,1164,1
140,2020-03-17,0,50s,1602,6
141,2020-03-17,0,60s,1033,16
142,2020-03-17,0,70s,539,29
143,2020-03-17,0,80s,274,28
144,2020-03-18,0,0s,87,0
145,2020-03-18,0,10s,438,0
146,2020-03-18,0,20s,2342,0
147,2020-03-18,0,30s,873,1
148,2020-03-18,0,40s,1171,1
149,2020-03-18,0,50s,1615,6
150,2020-03-18,0,60s,1059,16
151,2020-03-18,0,70s,542,29
152,2020-03-18,0,80s,286,31
153,2020-03-19,0,0s,91,0
154,2020-03-19,0,10s,444,0
155,2020-03-19,0,20s,2358,0
156,2020-03-19,0,30s,886,1
157,2020-03-19,0,40s,1181,1
158,2020-03-19,0,50s,1642,7
159,2020-03-19,0,60s,1080,17
160,2020-03-19,0,70s,562,34
161,2020-03-19,0,80s,321,31
162,2020-03-20,0,0s,97,0
163,2020-03-20,0,10s,452,0
164,2020-03-20,0,20s,2365,0
165,2020-03-20,0,30s,893,1
166,2020-03-20,0,40s,1193,1
167,2020-03-20,0,50s,1656,7
168,2020-03-20,0,60s,1099,17
169,2020-03-20,0,70s,568,35
170,2020-03-20,0,80s,329,33
171,2020-03-21,0,0s,99,0
172,2020-03-21,0,10s,457,0
173,2020-03-21,0,20s,2380,0
174,2020-03-21,0,30s,900,1
175,2020-03-21,0,40s,1203,1
176,2020-03-21,0,50s,1672,7
177,2020-03-21,0,60s,1118,17
178,2020-03-21,0,70s,589,37
179,2020-03-21,0,80s,381,39
180,2020-03-22,0,0s,101,0
181,2020-03-22,0,10s,460,0
182,2020-03-22,0,20s,2396,0
183,2020-03-22,0,30s,909,1
184,2020-03-22,0,40s,1221,1
185,2020-03-22,0,50s,1691,7
186,2020-03-22,0,60s,1132,17
187,2020-03-22,0,70s,595,37
188,2020-03-22,0,80s,392,41
189,2020-03-23,0,0s,103,0
190,2020-03-23,0,10s,460,0
191,2020-03-23,0,20s,2417,0
192,2020-03-23,0,30s,917,1
193,2020-03-23,0,40s,1228,1
194,2020-03-23,0,50s,1702,7
195,2020-03-23,0,60s,1139,18
196,2020-03-23,0,70s,599,38
197,2020-03-23,0,80s,396,46
198,2020-03-24,0,0s,105,0
199,2020-03-24,0,10s,468,0
200,2020-03-24,0,20s,2438,0
201,2020-03-24,0,30s,921,1
202,2020-03-24,0,40s,1234,1
203,2020-03-24,0,50s,1716,8
204,2020-03-24,0,60s,1146,20
205,2020-03-24,0,70s,608,38
206,2020-03-24,0,80s,401,52
207,2020-03-25,0,0s,105,0
208,2020-03-25,0,10s,475,0
209,2020-03-25,0,20s,2473,0
210,2020-03-25,0,30s,943,1
211,2020-03-25,0,40s,1246,1
212,2020-03-25,0,50s,1724,10
213,2020-03-25,0,60s,1154,20
214,2020-03-25,0,70s,611,39
215,2020-03-25,0,80s,406,55
216,2020-03-26,0,0s,106,0
217,2020-03-26,0,10s,488,0
218,2020-03-26,0,20s,2508,0
219,2020-03-26,0,30s,955,1
220,2020-03-26,0,40s,1252,1
221,2020-03-26,0,50s,1738,10
222,2020-03-26,0,60s,1162,20
223,2020-03-26,0,70s,616,41
224,2020-03-26,0,80s,416,58
225,2020-03-27,0,0s,108,0
226,2020-03-27,0,10s,496,0
227,2020-03-27,0,20s,2532,0
228,2020-03-27,0,30s,960,1
229,2020-03-27,0,40s,1256,1
230,2020-03-27,0,50s,1752,10
231,2020-03-27,0,60s,1170,21
232,2020-03-27,0,70s,630,41
233,2020-03-27,0,80s,428,65
234,2020-03-28,0,0s,109,0
235,2020-03-28,0,10s,501,0
236,2020-03-28,0,20s,2567,0
237,2020-03-28,0,30s,978,1
238,2020-03-28,0,40s,1278,1
239,2020-03-28,0,50s,1780,10
240,2020-03-28,0,60s,1201,21
241,2020-03-28,0,70s,632,41
242,2020-03-28,0,80s,432,70
243,2020-03-29,0,0s,111,0
244,2020-03-29,0,10s,508,0
245,2020-03-29,0,20s,2602,0
246,2020-03-29,0,30s,993,1
247,2020-03-29,0,40s,1292,1
248,2020-03-29,0,50s,1798,10
249,2020-03-29,0,60s,1210,21
250,2020-03-29,0,70s,635,43
251,2020-03-29,0,80s,434,76
252,2020-03-30,0,0s,112,0
253,2020-03-30,0,10s,513,0
254,2020-03-30,0,20s,2630,0
255,2020-03-30,0,30s,1002,1
256,2020-03-30,0,40s,1297,1
257,2020-03-30,0,50s,1812,10
258,2020-03-30,0,60s,1218,21
259,2020-03-30,0,70s,640,45
260,2020-03-30,0,80s,437,80
261,2020-03-31,0,0s,112,0
262,2020-03-31,0,10s,515,0
263,2020-03-31,0,20s,2656,0
264,2020-03-31,0,30s,1012,1
265,2020-03-31,0,40s,1312,1
266,2020-03-31,0,50s,1851,10
267,2020-03-31,0,60s,1235,22
268,2020-03-31,0,70s,651,46
269,2020-03-31,0,80s,442,82
270,2020-04-01,0,0s,116,0
271,2020-04-01,0,10s,519,0
272,2020-04-01,0,20s,2682,0
273,2020-04-01,0,30s,1027,1
274,2020-04-01,0,40s,1323,1
275,2020-04-01,0,50s,1865,10
276,2020-04-01,0,60s,1245,23
277,2020-04-01,0,70s,658,46
278,2020-04-01,0,80s,452,84
279,2020-04-02,0,0s,119,0
280,2020-04-02,0,10s,522,0
281,2020-04-02,0,20s,2704,0
282,2020-04-02,0,30s,1043,1
283,2020-04-02,0,40s,1336,2
284,2020-04-02,0,50s,1878,11
285,2020-04-02,0,60s,1258,23
286,2020-04-02,0,70s,663,47
287,2020-04-02,0,80s,453,85
288,2020-04-03,0,0s,121,0
289,2020-04-03,0,10s,528,0
290,2020-04-03,0,20s,2734,0
291,2020-04-03,0,30s,1052,1
292,2020-04-03,0,40s,1350,2
293,2020-04-03,0,50s,1887,12
294,2020-04-03,0,60s,1266,24
295,2020-04-03,0,70s,668,49
296,2020-04-03,0,80s,456,86
297,2020-04-04,0,0s,122,0
298,2020-04-04,0,10s,530,0
299,2020-04-04,0,20s,2761,0
300,2020-04-04,0,30s,1066,1
301,2020-04-04,0,40s,1358,2
302,2020-04-04,0,50s,1898,12
303,2020-04-04,0,60s,1282,25
304,2020-04-04,0,70s,678,50
305,2020-04-04,0,80s,461,87
306,2020-04-05,0,0s,124,0
307,2020-04-05,0,10s,535,0
308,2020-04-05,0,20s,2789,0
309,2020-04-05,0,30s,1083,1
310,2020-04-05,0,40s,1370,2
311,2020-04-05,0,50s,1904,13
312,2020-04-05,0,60s,1289,25
313,2020-04-05,0,70s,681,51
314,2020-04-05,0,80s,462,91
315,2020-04-06,0,0s,126,0
316,2020-04-06,0,10s,542,0
317,2020-04-06,0,20s,2804,0
318,2020-04-06,0,30s,1086,1
319,2020-04-06,0,40s,1375,2
320,2020-04-06,0,50s,1906,13
321,2020-04-06,0,60s,1294,26
322,2020-04-06,0,70s,686,52
323,2020-04-06,0,80s,465,92
324,2020-04-07,0,0s,126,0
325,2020-04-07,0,10s,544,0
326,2020-04-07,0,20s,2819,0
327,2020-04-07,0,30s,1092,1
328,2020-04-07,0,40s,1382,2
329,2020-04-07,0,50s,1909,13
330,2020-04-07,0,60s,1304,26
331,2020-04-07,0,70s,689,57
332,2020-04-07,0,80s,466,93
333,2020-04-08,0,0s,126,0
334,2020-04-08,0,10s,548,0
335,2020-04-08,0,20s,2832,0
336,2020-04-08,0,30s,1102,1
337,2020-04-08,0,40s,1387,3
338,2020-04-08,0,50s,1915,13
339,2020-04-08,0,60s,1312,27
340,2020-04-08,0,70s,692,60
341,2020-04-08,0,80s,470,96
342,2020-04-09,0,0s,128,0
343,2020-04-09,0,10s,552,0
344,2020-04-09,0,20s,2844,0
345,2020-04-09,0,30s,1109,1
346,2020-04-09,0,40s,1394,3
347,2020-04-09,0,50s,1917,13
348,2020-04-09,0,60s,1314,27
349,2020-04-09,0,70s,692,60
350,2020-04-09,0,80s,473,100
351,2020-04-10,0,0s,129,0
352,2020-04-10,0,10s,553,0
353,2020-04-10,0,20s,2851,0
354,2020-04-10,0,30s,1113,1
355,2020-04-10,0,40s,1396,3
356,2020-04-10,0,50s,1920,13
357,2020-04-10,0,60s,1320,28
358,2020-04-10,0,70s,694,62
359,2020-04-10,0,80s,474,101
360,2020-04-11,0,0s,130,0
361,2020-04-11,0,10s,558,0
362,2020-04-11,0,20s,2856,0
363,2020-04-11,0,30s,1115,1
364,2020-04-11,0,40s,1399,3
365,2020-04-11,0,50s,1926,14
366,2020-04-11,0,60s,1327,29
367,2020-04-11,0,70s,694,63
368,2020-04-11,0,80s,475,101
369,2020-04-12,0,0s,130,0
370,2020-04-12,0,10s,561,0
371,2020-04-12,0,20s,2869,0
372,2020-04-12,0,30s,1120,1
373,2020-04-12,0,40s,1400,3
374,2020-04-12,0,50s,1930,14
375,2020-04-12,0,60s,1330,31
376,2020-04-12,0,70s,697,63
377,2020-04-12,0,80s,475,102
378,2020-04-13,0,0s,132,0
379,2020-04-13,0,10s,562,0
380,2020-04-13,0,20s,2879,0
381,2020-04-13,0,30s,1122,1
382,2020-04-13,0,40s,1401,3
383,2020-04-13,0,50s,1932,14
384,2020-04-13,0,60s,1335,32
385,2020-04-13,0,70s,698,64
386,2020-04-13,0,80s,476,103
387,2020-04-14,0,0s,132,0
388,2020-04-14,0,10s,565,0
389,2020-04-14,0,20s,2886,0
390,2020-04-14,0,30s,1126,1
391,2020-04-14,0,40s,1405,3
392,2020-04-14,0,50s,1935,14
393,2020-04-14,0,60s,1338,33
394,2020-04-14,0,70s,700,65
395,2020-04-14,0,80s,477,106
396,2020-04-15,0,0s,132,0
397,2020-04-15,0,10s,569,0
398,2020-04-15,0,20s,2895,0
399,2020-04-15,0,30s,1131,1
400,2020-04-15,0,40s,1408,3
401,2020-04-15,0,50s,1937,14
402,2020-04-15,0,60s,1339,33
403,2020-04-15,0,70s,702,68
404,2020-04-15,0,80s,478,106
405,2020-04-16,0,0s,135,0
406,2020-04-16,0,10s,572,0
407,2020-04-16,0,20s,2900,0
408,2020-04-16,0,30s,1132,1
409,2020-04-16,0,40s,1410,3
410,2020-04-16,0,50s,1940,14
411,2020-04-16,0,60s,1341,33
412,2020-04-16,0,70s,703,68
413,2020-04-16,0,80s,480,110
414,2020-04-17,0,0s,136,0
415,2020-04-17,0,10s,576,0
416,2020-04-17,0,20s,2909,0
417,2020-04-17,0,30s,1135,1
418,2020-04-17,0,40s,1411,3
419,2020-04-17,0,50s,1942,14
420,2020-04-17,0,60s,1342,33
421,2020-04-17,0,70s,704,68
422,2020-04-17,0,80s,480,111
423,2020-04-18,0,0s,138,0
424,2020-04-18,0,10s,576,0
425,2020-04-18,0,20s,2918,0
426,2020-04-18,0,30s,1136,1
427,2020-04-18,0,40s,1412,3
428,2020-04-18,0,50s,1944,15
429,2020-04-18,0,60s,1343,33
430,2020-04-18,0,70s,705,68
431,2020-04-18,0,80s,481,112
432,2020-04-19,0,0s,138,0
433,2020-04-19,0,10s,578,0
434,2020-04-19,0,20s,2921,0
435,2020-04-19,0,30s,1137,2
436,2020-04-19,0,40s,1412,3
437,2020-04-19,0,50s,1945,15
438,2020-04-19,0,60s,1343,34
439,2020-04-19,0,70s,705,68
440,2020-04-19,0,80s,482,112
441,2020-04-20,0,0s,138,0
442,2020-04-20,0,10s,581,0
443,2020-04-20,0,20s,2926,0
444,2020-04-20,0,30s,1139,2
445,2020-04-20,0,40s,1412,3
446,2020-04-20,0,50s,1948,15
447,2020-04-20,0,60s,1343,34
448,2020-04-20,0,70s,705,69
449,2020-04-20,0,80s,482,113
450,2020-04-21,0,0s,138,0
451,2020-04-21,0,10s,582,0
452,2020-04-21,0,20s,2928,0
453,2020-04-21,0,30s,1139,2
454,2020-04-21,0,40s,1413,3
455,2020-04-21,0,50s,1951,15
456,2020-04-21,0,60s,1343,34
457,2020-04-21,0,70s,706,70
458,2020-04-21,0,80s,483,113
459,2020-04-22,0,0s,138,0
460,2020-04-22,0,10s,583,0
461,2020-04-22,0,20s,2931,0
462,2020-04-22,0,30s,1140,2
463,2020-04-22,0,40s,1417,3
464,2020-04-22,0,50s,1951,15
465,2020-04-22,0,60s,1344,34
466,2020-04-22,0,70s,707,71
467,2020-04-22,0,80s,483,113
468,2020-04-23,0,0s,138,0
469,2020-04-23,0,10s,584,0
470,2020-04-23,0,20s,2933,0
471,2020-04-23,0,30s,1141,2
472,2020-04-23,0,40s,1418,3
473,2020-04-23,0,50s,1952,15
474,2020-04-23,0,60s,1344,35
475,2020-04-23,0,70s,708,71
476,2020-04-23,0,80s,484,114
477,2020-04-24,0,0s,138,0
478,2020-04-24,0,10s,585,0
479,2020-04-24,0,20s,2934,0
480,2020-04-24,0,30s,1142,2
481,2020-04-24,0,40s,1418,3
482,2020-04-24,0,50s,1953,15
483,2020-04-24,0,60s,1345,35
484,2020-04-24,0,70s,708,71
485,2020-04-24,0,80s,485,114
486,2020-04-25,0,0s,139,0
487,2020-04-25,0,10s,586,0
488,2020-04-25,0,20s,2937,0
489,2020-04-25,0,30s,1143,2
490,2020-04-25,0,40s,1420,3
491,2020-04-25,0,50s,1953,15
492,2020-04-25,0,60s,1347,35
493,2020-04-25,0,70s,708,71
494,2020-04-25,0,80s,485,114
495,2020-04-26,0,0s,140,0
496,2020-04-26,0,10s,586,0
497,2020-04-26,0,20s,2940,0
498,2020-04-26,0,30s,1147,2
499,2020-04-26,0,40s,1421,3
500,2020-04-26,0,50s,1953,15
501,2020-04-26,0,60s,1347,35
502,2020-04-26,0,70s,708,72
503,2020-04-26,0,80s,485,115
504,2020-04-27,0,0s,140,0
505,2020-04-27,0,10s,588,0
506,2020-04-27,0,20s,2943,0
507,2020-04-27,0,30s,1152,2
508,2020-04-27,0,40s,1422,3
509,2020-04-27,0,50s,1953,15
510,2020-04-27,0,60s,1347,35
511,2020-04-27,0,70s,708,72
512,2020-04-27,0,80s,485,116
513,2020-04-28,0,0s,140,0
514,2020-04-28,0,10s,590,0
515,2020-04-28,0,20s,2948,0
516,2020-04-28,0,30s,1154,2
517,2020-04-28,0,40s,1423,3
518,2020-04-28,0,50s,1955,15
519,2020-04-28,0,60s,1348,35
520,2020-04-28,0,70s,709,73
521,2020-04-28,0,80s,485,116
522,2020-04-29,0,0s,140,0
523,2020-04-29,0,10s,590,0
524,2020-04-29,0,20s,2951,0
525,2020-04-29,0,30s,1156,2
526,2020-04-29,0,40s,1426,3
527,2020-04-29,0,50s,1956,15
528,2020-04-29,0,60s,1348,35
529,2020-04-29,0,70s,709,73
530,2020-04-29,0,80s,485,118
531,2020-04-30,0,0s,140,0
532,2020-04-30,0,10s,590,0
533,2020-04-30,0,20s,2952,0
534,2020-04-30,0,30s,1158,2
535,2020-04-30,0,40s,1427,3
536,2020-04-30,0,50s,1956,15
537,2020-04-30,0,60s,1348,35
538,2020-04-30,0,70s,709,74
539,2020-04-30,0,80s,485,118
540,2020-05-01,0,0s,140,0
541,2020-05-01,0,10s,590,0
542,2020-05-01,0,20s,2957,0
543,2020-05-01,0,30s,1159,2
544,2020-05-01,0,40s,1429,3
545,2020-05-01,0,50s,1956,15
546,2020-05-01,0,60s,1348,35
547,2020-05-01,0,70s,709,75
548,2020-05-01,0,80s,486,118
